code_site,adresse,operateur,mise_en_serv,mise_en_serv_4g,mise_en_serv_5g_3500,mise_en_serv_5g_700,type,ardt,geo_shape,geo_point_2d
75115_075_01,28 Rue du docteur finlay,FREE MOBILE,2018-12-21,2018-12-24,,,3G/4G/5G,75015,"{'type': 'Feature', 'geometry': {'coordinates': [2.2891950000930037, 48.85186499968616], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2891950000930037, 'lat': 48.85186499968616}"
75115_002_03,29 Rue du cotentin,FREE MOBILE,2015-06-17,2015-06-17,2022-02-03,,3G/4G/5G,75015,"{'type': 'Feature', 'geometry': {'coordinates': [2.3127480005679617, 48.83849100009511], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3127480005679617, 'lat': 48.83849100009511}"
T16804,3 Rue de la banque,BOUYGUES,2020-06-24,,,,,75002,"{'type': 'Feature', 'geometry': {'coordinates': [2.340008999471474, 48.86640000040977], 'type': 'Point'}, 'properties': {}}","{'lon': 2.340008999471474, 'lat': 48.86640000040977}"
00022245U3,3 Rue de messine,ORANGE,2017-05-12,2017-05-12,2024-03-26,,3G/4G/5G,75008,"{'type': 'Feature', 'geometry': {'coordinates': [2.310610500195261, 48.87657899985329], 'type': 'Point'}, 'properties': {}}","{'lon': 2.310610500195261, 'lat': 48.87657899985329}"
00008235U3,30 Rue félicien david,ORANGE,2011-05-20,2013-03-27,2023-07-10,,3G/4G/5G,75016,"{'type': 'Feature', 'geometry': {'coordinates': [2.2735827236192754, 48.84887015712116], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2735827236192754, 'lat': 48.84887015712116}"
00010796U3,30-40 Rue du commandant mouchotte,ORANGE,2012-09-20,2013-03-21,2021-12-31,,3G/4G/5G,75014,"{'type': 'Feature', 'geometry': {'coordinates': [2.318534999533738, 48.837753000220374], 'type': 'Point'}, 'properties': {}}","{'lon': 2.318534999533738, 'lat': 48.837753000220374}"
751160,31 Rue de buci,SFR,2021-09-10,,,,2G/3G/4G/5G,75006,"{'type': 'Feature', 'geometry': {'coordinates': [2.3362812524897936, 48.85340613191477], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3362812524897936, 'lat': 48.85340613191477}"
7510051988,31-33-35 Rue baron le roy,SFR,2024-01-31,,,,3G/4G/5G,75012,"{'type': 'Feature', 'geometry': {'coordinates': [2.388433499658556, 48.834513000005344], 'type': 'Point'}, 'properties': {}}","{'lon': 2.388433499658556, 'lat': 48.834513000005344}"
75112_010_02,31b Boulevard diderot,FREE MOBILE,2012-03-12,2016-04-28,,,3G/4G/5G,75012,"{'type': 'Feature', 'geometry': {'coordinates': [2.3760180005837888, 48.846275999638856], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3760180005837888, 'lat': 48.846275999638856}"
75119_018_01,32 Rue petit,FREE MOBILE,2013-07-16,2013-11-06,2023-09-20,,3G/4G/5G,75019,"{'type': 'Feature', 'geometry': {'coordinates': [2.3822280001866196, 48.884706000381094], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3822280001866196, 'lat': 48.884706000381094}"
